Entry,GeneName,GN_Syn
P24638,Acp2,Acp2
Q8CE08,Acpp,Acpp
P23204,Ppara,Ppara
P23204,Ppara,Nr1c1
P23204,Ppara,Ppar
P35396,Ppard,Ppard
P35396,Ppard,Nr1c2
P35396,Ppard,Pparb
P37238,Pparg,Pparg
P37238,Pparg,Nr1c3
P24822,Iap,Iap
P24822,Iap,Akp-3
P24822,Iap,Akp3
Q8C167,Prepl,Prepl
Q8C167,Prepl,Kiaa0436
Q8VDG5,Ppcs,Ppcs
Q8VDG5,Ppcs,Coab
P53808,Pctp,Pctp
P53808,Pctp,Stard2
O35655,Ppef1,Ppef1
O35655,Ppef1,Dres10
O35655,Ppef1,Ppef
O35385,Ppef2,Ppef2
P16675,Ctsa,Ctsa
P16675,Ctsa,Ppgb
Q8K2H1,Pphln1,Pphln1
P30412,Ppic,Ppic
P30412,Ppic,Cypc
Q99KR7,Ppif,Ppif
A2AR02,Ppig,Ppig
Q9D787,Ppil2,Ppil2
Q9D6L8,Ppil3,Ppil3
Q9D6L8,Ppil3,Cyp10l
Q9CXG3,Ppil4,Ppil4
Q60676,Ppp5c,Ppp5c
Q9ERT9,Ppp1r1a,Ppp1r1a
Q6A025,Ppp1r26,Ppp1r26
Q6A025,Ppp1r26,Gm347
Q6A025,Ppp1r26,Kiaa0649
Q9D119,Ppp1r27,Ppp1r27
Q9D119,Ppp1r27,Dysfip1
Q9Z2E4,Ppp1r17,Ppp1r17
Q9Z2E4,Ppp1r17,Gsbs
Q80U57,Rims3,Rims3
Q80U57,Rims3,Kiaa0237
P60191,Rims4,Rims4
Q921Q7,Rin1,Rin1
Q9D684,Rin2,Rin2
P59729,Rin3,Rin3
Q7TMB3,Ppp1r3c,Ppp1r3c
Q7TMB3,Ppp1r3c,Ppp1r5
Q9JIG4,Ppp1r3f,Ppp1r3f
Q9JIG4,Ppp1r3f,DXImx48e
Q8R1Z4,Ppp1r42,Ppp1r42
Q8R1Z4,Ppp1r42,Lrrc67
Q9CQJ4,Rnf2,Rnf2
Q9CQJ4,Rnf2,DinG
Q9CQJ4,Rnf2,Ring1b
Q8BZ36,Rint1,Rint1
Q9DBU3,Riok3,Riok3
Q60855,Ripk1,Ripk1
Q60855,Ripk1,Rinp
Q60855,Ripk1,Rip
Q8CGZ9,Prl7b1,Prl7b1
Q8CGZ9,Prl7b1,Prlpn
P04769,Prl7d1,Prl7d1
P04769,Prl7d1,Plfr
