GeneName,d0_siRNA,dm_siRNA,dm_NC,dm_PPARG,ins_siRNA,ins_NC,ins_PPARG
0610005C13Rik,=,=,=,=,+,=,=
0610009B22Rik,=,=,=,=,+,+,=
0610009E02Rik,=,-,=,=,=,=,=
0610009L18Rik,=,=,=,=,-,-,=
0610009O20Rik,=,=,=,=,+,+,=
0610010F05Rik,=,+,=,=,+,+,=
0610010K14Rik,=,=,=,+,-,=,=
0610012G03Rik,+,=,=,=,+,+,=
0610030E20Rik,=,=,-,-,=,+,=
0610037L13Rik,=,=,=,-,=,+,=
0610038B21Rik,=,=,=,=,-,=,=
0610040B10Rik,=,=,-,=,=,=,=
0610043K17Rik,=,=,=,=,=,=,=
1-Sep,=,-,-,-,-,=,+
10-Sep,=,=,=,=,=,=,+
1010001B22Rik,=,=,=,=,=,+,+
1010001N08Rik,=,=,=,=,=,=,=
11-Sep,=,=,-,-,-,=,=
1110002L01Rik,=,=,=,=,=,=,=
1110004E09Rik,=,+,+,=,+,=,=
1110004F10Rik,=,=,=,=,-,=,=
1110006O24Rik,=,=,=,+,=,=,=
1110008F13Rik,=,=,+,+,+,+,=
1110008L16Rik,=,=,=,=,=,=,=
1110008P14Rik,+,+,+,+,+,+,=
1110012L19Rik,=,=,=,=,+,+,=
1110019D14Rik,=,=,=,=,+,+,=
1110020A21Rik,=,=,=,=,+,+,=
1110025M09Rik,=,-,=,=,-,=,=
1110032A03Rik,=,=,-,=,=,+,=
1110034G24Rik,=,=,-,=,=,+,=
1110038B12Rik,=,=,=,-,=,=,=
1110038F14Rik,=,=,=,=,=,=,=
1110046J04Rik,=,=,-,-,=,+,+
1110051M20Rik,-,-,=,=,-,=,=
1110059E24Rik,=,=,=,=,=,=,=
1110059G10Rik,=,=,-,-,=,=,=
1110065P20Rik,=,=,=,=,=,=,=
1190002N15Rik,=,=,=,=,=,=,=
1190005I06Rik,=,+,=,-,+,+,+
1190007I07Rik,=,=,=,=,+,=,=
1300002E11Rik,=,=,=,=,+,+,=
14-Sep,=,=,=,=,+,+,=
1500002C15Rik,=,=,=,=,-,=,=
1500002F19Rik,=,=,=,=,+,+,=
1500009L16Rik,-,=,=,-,-,=,+
1500011B03Rik,=,=,=,=,+,=,=
1500011K16Rik,=,=,=,=,+,+,=
1500015A07Rik,=,=,=,=,-,=,=
1500015O10Rik,=,=,=,=,-,+,+
1600002H07Rik,=,=,+,+,=,=,=
1600002K03Rik,=,-,=,-,=,=,=
1600012H06Rik,=,=,=,=,=,=,=
1600014C10Rik,+,=,=,=,+,+,=
1600020E01Rik,=,=,=,=,=,=,=
1700001G11Rik,=,=,=,+,=,=,=
1700003F12Rik,=,=,=,=,+,+,=
1700007J10Rik,=,=,=,=,-,-,-
1700007K13Rik,=,=,=,=,-,=,+
1700007L15Rik,=,=,+,+,=,-,-
1700008J07Rik,=,=,=,=,=,=,=
1700010I14Rik,=,=,-,=,+,+,=
1700010K24Rik,=,=,=,=,=,=,=
1700012C08Rik,=,=,=,=,=,=,=
1700012D14Rik,=,=,=,=,-,-,=
1700016P03Rik,=,=,=,-,=,=,-
1700017B05Rik,=,=,+,+,+,=,-
1700019A23Rik,=,=,=,=,=,=,=
1700020I14Rik,=,=,=,=,=,=,=
1700020L24Rik,+,=,+,+,+,=,=
1700021F05Rik,=,+,=,=,+,=,=
1700024B05Rik,=,=,=,=,-,=,=
1700025G04Rik,=,=,+,=,-,-,=
1700026F02Rik,=,=,=,=,=,=,=
1700027A07Rik,=,=,-,=,-,=,+
1700029I15Rik,+,+,=,-,+,+,+
1700029J07Rik,=,=,=,=,=,=,=
1700030C10Rik,=,=,=,=,=,=,=
1700030K09Rik,=,=,-,=,=,=,=
1700034E13Rik,=,=,-,=,-,=,+
1700034P13Rik,=,=,=,=,=,=,+
1700037C18Rik,=,=,=,=,-,=,=
1700037H04Rik,=,=,=,=,+,+,=
1700047M11Rik,=,+,=,=,+,+,+
1700048M11Rik,=,=,=,=,-,=,=
1700048O20Rik,=,=,=,=,-,=,=
1700049E17Rik1,=,=,=,=,-,=,=
1700052K11Rik,=,=,=,=,=,=,=
1700056E22Rik,=,=,=,=,+,+,+
1700058P15Rik,=,=,=,=,=,=,=
1700066B17Rik,=,=,=,=,+,+,=
1700066M21Rik,=,=,=,=,=,=,-
1700086O06Rik,=,+,=,=,+,+,=
1700088E04Rik,=,=,=,+,=,=,=
1700096K18Rik,=,=,=,=,+,+,=
1700101I11Rik,=,+,=,=,+,=,=
1700108F19Rik,=,=,=,=,=,=,+
1700109H08Rik,=,=,=,=,=,-,=
1700109K24Rik,=,=,=,=,-,=,=
1700112D23Rik,=,=,=,=,-,=,+
